time,theta1,theta2,omega1,omega2,current,voltage
1.27436,4.46695,0,5.9231,0,0.0457326,1
1.28971,4.55592,0,5.96791,0,0.0435165,1
1.30546,4.65103,0,5.99944,0,0.0431136,1
1.32074,4.74153,0,6.04947,0,0.0438187,1
1.33655,4.83818,0,6.07492,0,0.0423077,1
1.35269,4.93635,0,6.11901,0,0.0415018,1
1.3688,5.03452,0,6.16194,0,0.0421062,1
1.38478,5.13423,0,6.20975,0,0.0413004,1
1.40179,5.23394,0,6.24204,0,0.0403938,1
1.40709,5.27076,0,6.25609,0,0.0404945,1
1.42238,5.37047,0,6.29155,0,0.0400916,1
1.44165,5.49319,0,6.32597,0,0.0430128,1
1.45751,5.59443,0,6.36387,0,0.0384799,1
1.46151,5.62051,0,6.37572,0,0.0396886,1
1.46716,5.65886,0,6.36947,0,0.0386813,1
1.48188,5.75396,0,6.42038,0,0.0386813,1
1.49731,5.8506,0,6.46605,0,0.0382784,1
1.50853,5.9227,0,6.47857,0,0.0387821,1
1.52368,6.01934,0,6.52343,0,0.0377747,1
1.53981,6.13132,0,6.5414,0,0.0371703,1
1.55584,6.2295,0,6.58214,0,0.0372711,1
1.57179,6.33534,0,6.60201,0,0.0367674,1
1.58766,6.44119,0,6.63871,0,0.0363645,1
1.60404,6.54703,0,6.65542,0,0.0362637,1
1.61957,6.65441,0,6.69363,0,0.0359615,1
1.63527,6.76179,0,6.71919,0,0.0357601,1
1.65152,6.86917,0,6.73496,0,0.034652,1
1.66707,6.97041,0,6.76642,0,0.0354579,1
1.68283,7.08546,0,6.79222,0,0.0344505,1
1.69891,7.19437,0,6.80404,0,0.0349542,1
1.71479,7.29561,0,6.84961,0,0.0342491,1
1.73083,7.4122,0,6.8659,0,0.0337454,1
1.74669,7.51651,0,6.89279,0,0.033544,1
1.76274,7.62695,0,6.90593,0,0.0362637,1
1.76542,7.64689,0,6.90842,0,0.033544,1
1.76985,7.68218,0,6.92119,0,0.0329396,1
1.77146,7.68831,0,6.92325,0,0.0332418,1
1.7869,7.79262,0,6.95311,0,0.0321337,1
1.80221,7.9046,0,6.99029,0,0.0337454,1
1.81699,8.00891,0,7.02084,0,0.0323352,1
1.84014,8.17305,0,7.05425,0,0.0319322,1
1.85611,8.28503,0,7.07334,0,0.0313278,1
1.87234,8.39854,0,7.09332,0,0.0309249,1
1.88847,8.51206,0,7.11549,0,0.0310256,1
1.90391,8.61944,0,7.13341,0,0.0309249,1
1.91986,8.73449,0,7.15536,0,0.0310256,1
1.93581,8.84954,0,7.19299,0,0.0296154,1
1.95183,8.96458,0,7.2159,0,0.0298168,1
1.96783,9.07963,0,7.22286,0,0.0297161,1
1.98376,9.20235,0,7.26013,0,0.0318315,1
1.99976,9.31126,0,7.27125,0,0.0294139,1
