time,theta1,theta2,omega1,omega2,current,voltage
1.05915,3.45913,0,5.57002,0,-5.21295e-64,1
1.07559,3.55423,0,5.62298,0,-5.20207e-64,1
1.0912,3.6386,0,5.66175,0,-5.08236e-64,1
1.10701,3.73064,0,5.69224,0,-5.06059e-64,1
1.12321,3.82268,0,5.7549,0,-5.01706e-64,1
1.13912,3.91472,0,5.79096,0,-4.90823e-64,1
1.15527,4.01443,0,5.84327,0,-4.78852e-64,1
1.17099,4.10186,0,5.87537,0,-4.89735e-64,1
1.17454,4.12487,0,5.88884,0,-4.8647e-64,1
1.19047,4.21998,0,5.93328,0,-4.74499e-64,1
1.19461,4.24452,0,5.94422,0,-4.83205e-64,1
1.21033,4.33963,0,5.99032,0,-4.71234e-64,1
1.22549,4.43014,0,6.03187,0,-4.61439e-64,1
1.24137,4.52678,0,6.06941,0,-4.60351e-64,1
1.25738,4.62342,0,6.10506,0,-4.52733e-64,1
1.27323,4.72159,0,6.143,0,-4.51644e-64,1
1.2887,4.81517,0,6.16185,0,-4.49468e-64,1
1.29979,4.88266,0,6.20469,0,-4.48379e-64,1
1.30091,4.8888,0,6.18593,0,-4.46203e-64,1
1.3113,4.95783,0,6.21972,0,-4.44026e-64,1
1.32689,5.0514,0,6.25884,0,-4.36408e-64,1
1.34274,5.15111,0,6.28645,0,-4.27702e-64,1
1.36058,5.26462,0,6.31015,0,-4.32055e-64,1
1.37609,5.35973,0,6.35006,0,-4.40761e-64,1
1.39202,5.46097,0,6.3703,0,-4.2879e-64,1
1.40898,5.56988,0,6.42159,0,-4.25525e-64,1
1.4114,5.58369,0,6.41824,0,-4.17907e-64,1
1.41402,5.6021,0,6.42356,0,-4.21172e-64,1
1.41869,5.63431,0,6.42542,0,-4.25525e-64,1
1.42183,5.65425,0,6.45151,0,-4.1573e-64,1
1.43745,5.75703,0,6.47581,0,-4.14642e-64,1
1.45271,5.8552,0,6.50787,0,-4.04847e-64,1
1.47896,6.01781,0,6.57098,0,-3.95053e-64,1
1.48221,6.05155,0,6.57156,0,-3.97229e-64,1
1.4868,6.07763,0,6.60092,0,-3.85258e-64,1
1.48892,6.09144,0,6.58273,0,-4.02671e-64,1
1.49437,6.13132,0,6.59895,0,-4.17907e-64,1
1.51081,6.2295,0,6.63672,0,-3.91788e-64,1
1.5267,6.34301,0,6.67049,0,-3.76552e-64,1
1.54451,6.45653,0,6.70572,0,-3.81993e-64,1
1.56021,6.57157,0,6.72768,0,-3.7764e-64,1
1.57648,6.67895,0,6.76497,0,-3.78728e-64,1
1.59185,6.78173,0,6.79556,0,-3.63492e-64,1
1.60758,6.89064,0,6.80834,0,-3.63492e-64,1
1.62373,6.99955,0,6.86238,0,-3.55874e-64,1
1.63945,7.11,0,6.88023,0,-3.65669e-64,1
1.6556,7.22045,0,6.90993,0,-3.60227e-64,1
1.67168,7.33089,0,6.93216,0,-3.54786e-64,1
1.68786,7.44134,0,6.97132,0,-3.41726e-64,1
1.70341,7.55332,0,6.98477,0,-3.88523e-64,1
1.71945,7.65917,0,7.0017,0,-3.48256e-64,1
1.73495,7.77115,0,7.03347,0,-3.38461e-64,1
1.75094,7.88313,0,7.06327,0,-3.40638e-64,1
1.76721,7.99664,0,7.05256,0,-3.40638e-64,1
1.78375,8.11629,0,7.09093,0,-3.42814e-64,1
1.78611,8.13163,0,7.09834,0,-3.41726e-64,1
1.78988,8.15924,0,7.09002,0,-3.34108e-64,1
1.79287,8.18072,0,7.0915,0,-3.36285e-64,1
1.80955,8.3019,0,7.12019,0,-3.28666e-64,1
1.81143,8.31571,0,7.13837,0,-3.28666e-64,1
1.82697,8.42309,0,7.13606,0,-3.15607e-64,1
1.84388,8.53814,0,7.16314,0,-3.2649e-64,1
1.85964,8.65319,0,7.19346,0,-3.16695e-64,1
1.87575,8.77437,0,7.19475,0,-3.16695e-64,1
1.89162,8.89095,0,7.25108,0,-3.17783e-64,1
1.90775,9.006,0,7.25751,0,-3.11254e-64,1
1.92362,9.12258,0,7.27292,0,-3.47168e-64,1
1.93949,9.23917,0,7.32065,0,-2.98194e-64,1
1.95524,9.35728,0,7.3118,0,-2.98194e-64,1
1.97117,9.47387,0,7.36213,0,-2.98194e-64,1
1.98709,9.58585,0,7.35502,0,-2.99282e-64,1
2.00298,9.70396,0,7.38773,0,-3.24313e-64,1
2.01914,9.82208,0,7.39899,0,-2.86223e-64,1
2.03516,9.94173,0,7.43335,0,-2.79693e-64,1
2.05115,10.0598,0,7.44902,0,-2.85134e-64,1
2.06723,10.1795,0,7.44902,0,-2.84046e-64,1
2.08314,10.2991,0,7.46917,0,-2.79693e-64,1
2.09926,10.4188,0,7.49655,0,-2.87311e-64,1
2.11522,10.5461,0,7.51823,0,-2.88399e-64,1
2.13111,10.6596,0,7.52925,0,-2.77516e-64,1
2.14701,10.7793,0,7.54971,0,-2.77516e-64,1
2.16282,10.9005,0,7.56458,0,-2.73163e-64,1
2.17844,11.0217,0,7.56652,0,-2.79693e-64,1
2.19408,11.1352,0,7.56665,0,-3.00371e-64,1
2.21024,11.2564,0,7.60704,0,-2.66633e-64,1
