time,theta1,theta2,omega1,omega2,current,voltage
1.06089,1.49256,0,2.30814,0,-2.63368e-64,0.5
1.07716,1.53245,0,2.33431,0,-2.65545e-64,0.5
1.09279,1.56773,0,2.35194,0,-2.69898e-64,0.5
1.10879,1.60454,0,2.367,0,-2.57927e-64,0.5
1.12485,1.64289,0,2.38686,0,-2.54662e-64,0.5
1.14157,1.68124,0,2.40404,0,-2.54662e-64,0.5
1.15638,1.71959,0,2.42681,0,-2.52485e-64,0.5
1.1728,1.75948,0,2.4426,0,-2.51397e-64,0.5
1.18814,1.79783,0,2.46798,0,-2.44867e-64,0.5
1.20403,1.83618,0,2.48334,0,-2.52485e-64,0.5
1.21973,1.87606,0,2.50055,0,-2.37249e-64,0.5
1.23556,1.91594,0,2.5204,0,-2.43779e-64,0.5
1.25118,1.95583,0,2.54269,0,-2.32896e-64,0.5
1.26737,1.99724,0,2.563,0,-2.31808e-64,0.5
1.26973,2.00184,0,2.563,0,-2.37249e-64,0.5
1.27411,2.01565,0,2.57303,0,-2.37249e-64,0.5
1.28961,2.054,0,2.59497,0,-2.26366e-64,0.5
1.29816,2.07701,0,2.59725,0,-2.32896e-64,0.5
1.3063,2.09849,0,2.60636,0,-2.37249e-64,0.5
1.32232,2.1399,0,2.6353,0,-2.31808e-64,0.5
1.33858,2.18285,0,2.65087,0,-2.25278e-64,0.5
1.35474,2.22581,0,2.67526,0,-2.23101e-64,0.5
1.3706,2.26876,0,2.70673,0,-2.2419e-64,0.5
1.38643,2.31171,0,2.72444,0,-2.18748e-64,0.5
1.40265,2.35619,0,2.74325,0,-2.1113e-64,0.5
1.40609,2.36693,0,2.75157,0,-2.12218e-64,0.5
1.42153,2.40835,0,2.76975,0,-2.29631e-64,0.5
1.42453,2.41602,0,2.77741,0,-2.27455e-64,0.5
1.43948,2.45897,0,2.79486,0,-2.13307e-64,0.5
1.45565,2.50346,0,2.81479,0,-2.03512e-64,0.5
1.47158,2.54948,0,2.84257,0,-2.06777e-64,0.5
1.47454,2.55715,0,2.84341,0,-2.12218e-64,0.5
1.47983,2.57095,0,2.85184,0,-2.046e-64,0.5
1.49111,2.60317,0,2.86681,0,-2.06777e-64,0.5
1.50736,2.64918,0,2.89379,0,-1.89364e-64,0.5
1.52234,2.6952,0,2.90651,0,-2.1113e-64,0.5
1.54026,2.74889,0,2.92748,0,-1.92629e-64,0.5
1.55602,2.79338,0,2.94707,0,-1.87188e-64,0.5
1.57173,2.84093,0,2.97429,0,-1.81746e-64,0.5
1.58813,2.89155,0,2.99321,0,-1.82834e-64,0.5
1.6042,2.94064,0,3.01304,0,-1.85011e-64,0.5
1.62009,2.98513,0,3.02627,0,-1.93717e-64,0.5
1.636,3.03728,0,3.04643,0,-1.83923e-64,0.5
1.65217,3.0833,0,3.06318,0,-1.77393e-64,0.5
1.66811,3.13546,0,3.08271,0,-1.88276e-64,0.5
1.68407,3.18454,0,3.11087,0,-1.70863e-64,0.5
1.70011,3.23517,0,3.11798,0,-1.5998e-64,0.5
1.71614,3.28579,0,3.12296,0,-1.71951e-64,0.5
1.73208,3.33641,0,3.1477,0,-1.57803e-64,0.5
1.74799,3.38243,0,3.16099,0,-1.67598e-64,0.5
1.76433,3.43765,0,3.17521,0,-1.57803e-64,0.5
1.78002,3.4852,0,3.18565,0,-1.61068e-64,0.5
1.78316,3.49748,0,3.19062,0,-1.56715e-64,0.5
1.78692,3.50668,0,3.19394,0,-1.64333e-64,0.5
1.7908,3.52049,0,3.19954,0,-1.6651e-64,0.5
1.80597,3.56804,0,3.20912,0,-1.65422e-64,0.5
1.82132,3.62019,0,3.21978,0,-1.56715e-64,0.5
1.84049,3.68002,0,3.23532,0,-1.5345e-64,0.5
1.85603,3.72911,0,3.24549,0,-1.50185e-64,0.5
1.8718,3.78126,0,3.24647,0,-1.54539e-64,0.5
1.88765,3.83342,0,3.25777,0,-1.61068e-64,0.5
1.90332,3.88557,0,3.26545,0,-1.57803e-64,0.5
1.91945,3.93773,0,3.27349,0,-1.4692e-64,0.5
1.93536,3.98988,0,3.27905,0,-1.58892e-64,0.5
1.95118,4.03897,0,3.2791,0,-1.54539e-64,0.5
1.96725,4.09573,0,3.28982,0,-1.56715e-64,0.5
1.98315,4.14788,0,3.30063,0,-1.54539e-64,0.5
1.99901,4.19697,0,3.30044,0,-1.49097e-64,0.5
2.01494,4.25066,0,3.30357,0,-1.51274e-64,0.5
2.03092,4.30282,0,3.30369,0,-1.55627e-64,0.5
2.047,4.35651,0,3.30382,0,-1.49097e-64,0.5
2.06294,4.40866,0,3.30456,0,-1.5998e-64,0.5
2.07869,4.46235,0,3.31326,0,-1.52362e-64,0.5
2.09431,4.51604,0,3.31786,0,-1.51274e-64,0.5
2.11033,4.56819,0,3.32595,0,-1.42567e-64,0.5
2.12629,4.62188,0,3.33723,0,-1.4692e-64,0.5
2.14236,4.67557,0,3.3388,0,-1.48009e-64,0.5
2.15836,4.72926,0,3.34021,0,-1.43656e-64,0.5
2.17446,4.78295,0,3.34743,0,-1.38214e-64,0.5
2.19051,4.83511,0,3.3493,0,-1.41479e-64,0.5
2.20623,4.8888,0,3.35855,0,-1.36037e-64,0.5
2.22239,4.94402,0,3.36386,0,-1.45832e-64,0.5
2.23855,4.99771,0,3.37218,0,-1.44744e-64,0.5
2.25451,5.0514,0,3.37265,0,-1.32773e-64,0.5
2.27028,5.10509,0,3.38702,0,-1.40391e-64,0.5
2.28635,5.16031,0,3.40116,0,-1.38214e-64,0.5
2.30226,5.214,0,3.40948,0,-1.42567e-64,0.5
2.3184,5.26922,0,3.41219,0,-1.50185e-64,0.5
2.33492,5.32445,0,3.42279,0,-1.42567e-64,0.5
2.35043,5.37814,0,3.43979,0,-1.37126e-64,0.5
2.36621,5.43336,0,3.45494,0,-1.34949e-64,0.5
2.38228,5.48858,0,3.45651,0,-1.30596e-64,0.5
2.398,5.54074,0,3.47314,0,-1.33861e-64,0.5
2.4139,5.5975,0,3.48673,0,-1.20801e-64,0.5
2.42992,5.65272,0,3.5046,0,-1.16448e-64,0.5
2.44565,5.70948,0,3.51076,0,-1.25154e-64,0.5
2.46218,5.7647,0,3.5244,0,-1.20801e-64,0.5
