time,theta1,theta2,omega1,omega2,current,voltage
6.9e-06,0,0,-0.0180055,0,1.0883e-65,2
0.0043629,0,0,-0.0180055,0,-2.958e-63,2
0.0197752,0.00613592,0,0.0263376,0,-2.66633e-63,2
0.0210642,0.00613592,0,0.0263376,0,-2.6881e-63,2
0.0366883,0.0138058,0,0.469062,0,-2.65327e-63,2
0.0551843,0.0276117,0,0.6487,0,-2.63042e-63,2
0.0710422,0.0460194,0,1.08398,0,-2.576e-63,2
0.0870375,0.0674952,0,1.46269,0,-2.54553e-63,2
0.103043,0.0935728,0,1.67107,0,-2.51833e-63,2
0.108385,0.102777,0,1.72239,0,-2.50853e-63,2
0.113824,0.115049,0,1.82523,0,-2.50091e-63,2
0.120855,0.125786,0,1.93191,0,-2.48676e-63,2
0.13583,0.161068,0,2.26597,0,-2.43561e-63,2
0.137263,0.164136,0,2.26597,0,-2.43344e-63,2
0.144172,0.18101,0,2.39746,0,-2.42147e-63,2
0.154981,0.208621,0,2.57956,0,-2.39426e-63,2
0.170427,0.248505,0,2.78045,0,-2.37249e-63,2
0.187924,0.302194,0,3.08695,0,-2.32025e-63,2
0.202935,0.351282,0,3.31739,0,-2.31046e-63,2
0.208766,0.371223,0,3.39964,0,-2.2974e-63,2
0.221674,0.414175,0,3.5791,0,-2.28108e-63,2
0.237041,0.474,0,3.82211,0,-2.24081e-63,2
0.252769,0.533825,0,4.05781,0,-2.22122e-63,2
0.254184,0.541495,0,4.08117,0,-2.21469e-63,2
0.269572,0.605922,0,4.29661,0,-2.18095e-63,2
0.285648,0.681087,0,4.53757,0,-2.14939e-63,2
0.289266,0.694893,0,4.58204,0,-2.15592e-63,2
0.304076,0.760854,0,4.794,0,-2.1113e-63,2
0.319032,0.839087,0,4.99872,0,-2.09171e-63,2
0.320958,0.843689,0,5.0007,0,-2.09062e-63,2
0.336195,0.926524,0,5.22688,0,-2.05689e-63,2
0.338652,0.941864,0,5.26463,0,-2.04927e-63,2
0.35437,1.01703,0,5.44642,0,-2.02206e-63,2
0.35626,1.0339,0,5.50245,0,-2.0188e-63,2
0.371551,1.11827,0,5.70091,0,-1.99812e-63,2
0.387439,1.21184,0,5.89811,0,-1.96329e-63,2
0.401981,1.30235,0,6.10379,0,-1.93826e-63,2
0.404105,1.30849,0,6.1163,0,-1.93391e-63,2
